Name	Processor	Condition Codes	Summary	Notation	Documentation
BCS	6809	H=• N=• Z=• V=• C=•	Branch if Carry Set (C=1), Equivalent to BLO (Unsigned)	If C=1 then PC' ← PC + I	Test the state of the C (carry) bit and causes a branch if it is is set.!!*Equivalent to BLO.*
BEQ	6809	H=• N=• Z=• V=• C=•	Branch if Equal (Z=1)	If Z=1 then PC' ← PC + I	Test the state of the Z (zero) bit and causes a branch if it is set. When used after a subtract or compare operation, this instruction will branch if the compared values, signed or unsigned, were exactly the same.
BGE	6809	H=• N=• Z=• V=• C=•	Branch if Greater Than or Equal to Zero (Z=1 or N EOR V=0) (Signed)	If [N ⊕ V]=0 then PC' ← PC + I	Causes a branch if the N (negative) bit and the V (overflow) bit are either both set or both clear. That is, branch if the sign of a valid two's complement result is, or would be, positive. When used after a subtract or compare operation on two's complement values, this instruction will branch if the register was greater than or equal to the memory operand.
BGT	6809	H=• N=• Z=• V=• C=•	Branch if Greater (N EOR V=0) (Signed)	If Z ∩ [N ⊕ V]=0 then PC' ← PC + I	Causes a branch if the N (negative) bit and V (overflow) bit are either both set or both clear and the Z (zero) bit is clear. In other words, branch if the sign of a valid two's complement result is, or would be, positive and not zero. When used after a subtract or compare operation on two's complement values, this instruction will branch if the register was greater than the memory operand.
BHI	6809	H=• N=• Z=• V=• C=•	Branch if Higher (Z=0 and C=0) (Unsigned)	If [C ∪ Z]=0 then PC' ← PC + I	Causes a branch if the previous operation caused neither a carry nor a zero result. When used after a subtract or compare operation on unsigned binary values, this instruction will branch if the register was higher than the memory operand.!!Generally not useful after INC/DEC, LD/TST, and TST/CLR/COM instructions.
BHS	6809	H=• N=• Z=• V=• C=•	Branch if Higher or Same (C=0), Equivalent to BCC (Unsigned)	If C=0 then PC' ← PC + I	Test the state of the C (carry) bit and causes a branch if it is clear. When used after a subtract or compare on unsigned binary values, this instruction will branch if the register was higher than or the same as the memory operand.!!This is a duplicate assembly-language mnemonic for the single machine instruction BCC. Generally not useful after INC/DEC, LD/ST, and TST/CLR/COM instructions.!!*Equivalent to BCC.*
BLE	6809	H=• N=• Z=• V=• C=•	Branch if Less than or Equal to Zero (Z=1 or N EOR V=0) (Signed)	If Z ∪ [N ⊕ V]=0 then PC' ← PC + I	Causes a branch if the exclusive OR of the N (negative) and V (overflow) bits is 1 or if the Z (zero) bit is set. That is, branch if the sign of a valid two's complement result is, or would be, negative. When used after a subtract or compare operation on two's complement values, this instruction will branch if the register was less than or equal to the memory operand.
BLO	6809	H=• N=• Z=• V=• C=•	Branch if Lower (C=1), Equivalent to BCS (Unsigned)	If C=1 then PC' ← PC + I	Test the state of the (carry) bit and causes a branch if it is set. When used after a subtract or compare on unsigned binary values, this instruction will branch if the register was lower than the memory operand.!!This is a duplicate assembly-language mnemonic for the single machine instruction BCS. Generally not useful after INC/DEC.!!*Equivalent to BCS.*
BLS	6809	H=• N=• Z=• V=• C=•	Branch if Lower or Same (Z=1 or C=1) (Unsigned)	If [C ∪ Z]=1 then PC' ← PC + I	Causes a branch if the previous operation caused either a carry or a zero result. When used after a subtract or compare operation on unsigned binary values, this instruction will branch if the register was lower than or the same as the memory operand.!!Generally not useful after INC/DEC, LD/ST, and TST/CLR/COM instructions.
BLT	6809	H=• N=• Z=• V=• C=•	Branch if Less than Zero (N EOR V=1) (Signed)	If [N ⊕ V]=1 then PC' ← PC + I	Causes a branch if either, but not both, of the N (negative) or V (overflow) bits is set. That is, branch if the sign of a valid two's complement result is, or would be, negative. When used after a subtract or compare operation on two's complement binary values, this instruction will branch if the register was less than the memory operand.
BMI	6809	H=• N=• Z=• V=• C=•	Branch if Minus (N=1)	If N=1 then PC' ← PC + I	Test the state of the N (negative) bit and causes a branch if set. That is, branch if the sign of the two's compiement result is negative.!!When used after an operation on signed binary values, this instruction will branch if the result is minus. It is generally preferred to use the BLT instruction after signed operations.
BNE	6809	H=• N=• Z=• V=• C=•	Branch Not Equal (Z=0)	If Z=0 then PC' ← PC + I	Test the state of the Z (zero) bit and causes a branch if it is clear. When used after a subtract or compare operation on any binary values, this instruction will branch if the register is, or would be, not equal to the memory operand.
BPL	6809	H=• N=• Z=• V=• C=•	Branch if Plus (N=0)	If N=0 then PC' ← PC + I	Test the state of the N (negative) bit and causes a branch if it is clear. That is, branch if the sign of the two's complement result is positive.!!When used after an operation on signed binary values, this instruction will branch if the result (possibly invalid) is positive. It is generally preferred to use the BGE instruction after signed operations.
BRA	6809	H=• N=• Z=• V=• C=•	Branch Always	PC' ← PC + I	Causes an unconditlonal branch.
BRN	6809	H=• N=• Z=• V=• C=•	Branch Never (NOP)	NOP	Does not cause a branch. This instruction is essentially a no operation, but has a bit pattern logically related to branch always.
BSR	6809	H=• N=• Z=• V=• C=•	Branch to Subroutine	S' ← S - 2, [S]' ← PC, PC' ← PC + I	The program counter is pushed onto the stack. The program counter is then loaded with the sum of the program counter and the offset.!!A return from subroutine (RTS) instruction is used to reverse this process and must be the last instruction executed in a subroutine.
BVC	6809	H=• N=• Z=• V=• C=•	Branch if valid two's complement result (V=0)	If V=0 then PC' ← PC + I	Test the state of the V (overflow) bit and causes a branch if it is clear. That is, branch if the two's complement result was valid. When used after an operation on two's complement binary values, this instruction will branch if there was no overflow.
BVS	6809	H=• N=• Z=• V=• C=•	Branch if invalid two's complement result (V=1)	If V=1 then PC' ← PC + I	Test the state of the V (overflow) bit and causes a branch if it is set. That is, branch if the two's complement result was invalid. When used after an operation on two's complement binary values, this instruction will branch if there was an overflow.
BAND	6309	H=• N=• Z=• V=• C=•	Logical AND Register Bit with Memory Bit into Register Bit	R.d' ← R.d AND DPM.s	Logical AND bit s of the contents of direct addressed memory byte into bit d of the contents of R.
BEOR	6309	H=• N=• Z=• V=• C=•	Logical EOR Register Bit with Memory Bit into Register Bit	R.d' ← R.d EOR DPM.s	Exclusive OR bit s of the contents of direct addressed memory byte into bit d of the contents of R.
BIAND	6309	H=• N=• Z=• V=• C=•	Logical AND Register Bit with Inverted Memory Bit into Register Bit	R.d' ← R.d ∩ DPM.s̅	Logically AND inverted bit s of the contents of direct addressed memory byte into bit d of the contents of R.
BIEOR	6309	H=• N=• Z=• V=• C=•	Logical EOR Register Bit with Inverted Memory Bit into Register Bit	R.d' ← R.d ⊕ DPM.s̅	Exclusive OR inverted bit s of the contents of direct addressed memory byte into bit d of the contents of R.
BIOR	6309	H=• N=• Z=• V=• C=•	Logical OR Register Bit with Inverted Memory Bit into Register Bit	R.d' ← R.d ∪ DPM.s̅	Locially OR inverted bit s of the contents of direct addressed memory byte into bit d of the contents of R.
BITA	6809	H=• N=↕ Z=↕ V=0 C=•	Bit Test with A	TEMP ← R ∩ M	Logical AND of A and the memory byte and modifies the condition codes accordingly. The contents of A and the memory byte are not affected.
BITB	6809	H=• N=↕ Z=↕ V=0 C=•	Bit Test with B	TEMP ← R ∩ M	Logical AND of B and the memory byte and modifies the condition codes accordingly. The contents of B and the memory byte are not affected.
BITD	6309	H=• N=↕ Z=↕ V=0 C=•	Bit Test with D	TEMP ← R ∩ M	Logical AND of D and the memory word and modifies the condition codes accordingly. The contents of D and the memory word are not affected.
BITMD	6309	H=• N=• Z=↕ V=• C=•	Bit Test with MD	CC.Z' ← (MD.IL ∩ I.6=0) ∩ (MD./0 ∩ I.7=0), MD.IL' ← MD.IL ∩ not I.6, MD./0 ← MD.0 ∩ not I.7	Logical AND of the two most-significant bits of MD and the immediate value and modifies the Z condition code accordingly. The bits of the register MD are cleared if the corresponding bit in the immediate value is 1.
BOR	6309	H=• N=• Z=• V=• C=•	Logical OR Register Bit with Memory Bit into Register Bit	R.d' ← R.d ∪ DPM.s	Perform an logical OR the bit d of R and the bit s of the direct addressed memory byte into bit d of R.
CLR	6809	H=• N=0 Z=1 V=0 C=0	Clear Memory Byte	TEMP ← M, M' ← $00	The memory byte is loaded with $00.!!**The effective address is read during this operation.**
CLRA	6809	H=• N=0 Z=1 V=0 C=0	Clear A	A' ← $00	A is loaded with $00.
CLRB	6809	H=• N=0 Z=1 V=0 C=0	Clear B	B' ← $00	B is loaded with $00.
CLRD	6309	H=• N=0 Z=1 V=0 C=0	Clear D	D' ← $0000	D is loaded with $0000.
CLRE	6309	H=• N=0 Z=1 V=0 C=0	Clear E	E' ← $00	E is loaded with $00.
CLRF	6309	H=• N=0 Z=1 V=0 C=0	Clear F	F' ← $00	F is loaded with $00.
CLRW	6309	H=• N=0 Z=1 V=0 C=0	Clear W	W' ← $0000	W is loaded with $0000.
CMPA	6809	H=? N=↕ Z=↕ V=↕ C=↕	Compare Memory Byte from A	TEMP ← A - M	Compare the memory byte to A and sets the appropriate condition codes. Neither the memory byte nor A is modified. The C (carry) bit represents a borrow and is set to the inverse of the resulting binary carry.!!The value of the H (half-carry) bit is undefined.
CMPB	6809	H=? N=↕ Z=↕ V=↕ C=↕	Compare Memory Byte from B	TEMP ← B - M	Compare the memory byte to B and sets the appropriate condition codes. Neither the memory byte nor B is modified. The C (carry) bit represents a borrow and is set to the inverse of the resulting binary carry.!!The value of the H (half-carry) bit is undefined.
CMPD	6809	H=• N=↕ Z=↕ V=↕ C=↕	Compare Memory Word from D	TEMP ← D - M:M+1	Compare the memory byte to D and sets the appropriate condition codes. Neither the memory byte nor D is modified. The C (carry) bit represents a borrow and is set to the inverse of the resulting binary carry.
CMPE	6309	H=? N=↕ Z=↕ V=↕ C=↕	Compare Memory Byte from E	TEMP ← E - M	Compare the memory byte to E and sets the appropriate condition codes. Neither the memory byte nor E is modified. The C (carry) bit represents a borrow and is set to the inverse of the resulting binary carry.!!The value of the H (half-carry) bit is undefined.
CMPF	6309	H=? N=↕ Z=↕ V=↕ C=↕	Compare Memory Byte from F	TEMP ← F - M	Compare the memory byte to F and sets the appropriate condition codes. Neither the memory byte nor F is modified. The C (carry) bit represents a borrow and is set to the inverse of the resulting binary carry.!!The value of the H (half-carry) bit is undefined.
CMPW	6309	H=• N=↕ Z=↕ V=↕ C=↕	Compare Memory Word from W	TEMP ← W - M:M+1	Compare the memory byte to W and sets the appropriate condition codes. Neither the memory byte nor W is modified. The C (carry) bit represents a borrow and is set to the inverse of the resulting binary carry.
CMPX	6809	H=• N=↕ Z=↕ V=↕ C=↕	Compare Memory Word from X	TEMP ← X - M:M+1	Compare the memory byte to X and sets the appropriate condition codes. Neither the memory byte nor X is modified. The C (carry) bit represents a borrow and is set to the inverse of the resulting binary carry.
CMPY	6809	H=• N=↕ Z=↕ V=↕ C=↕	Compare Memory Word from Y	TEMP ← Y - M:M+1	Compare the memory byte to Y and sets the appropriate condition codes. Neither the memory byte nor Y is modified. The C (carry) bit represents a borrow and is set to the inverse of the resulting binary carry.
CMPS	6809	H=• N=↕ Z=↕ V=↕ C=↕	Compare Memory Word from S	TEMP ← S - M:M+1	Compare the memory byte to S and sets the appropriate condition codes. Neither the memory byte nor S is modified. The C (carry) bit represents a borrow and is set to the inverse of the resulting binary carry.
CMPU	6809	H=• N=↕ Z=↕ V=↕ C=↕	Compare Memory Word from U	TEMP ← U - M:M+1	Compare the memory byte to U and sets the appropriate condition codes. Neither the memory byte nor U is modified. The C (carry) bit represents a borrow and is set to the inverse of the resulting binary carry.
CMPR	6309	H=• N=↕ Z=↕ V=↕ C=↕	Compare Register from Register	TEMP ← R₁ - R₀	Compares R₁ to R₀ and sets the appropriate condition codes. Neither register is modified. The C (carry) bit represents a borrow and is set to the inverse of the resulting binary carry.
COM	6809	H=• N=↕ Z=↕ V=0 C=1	Complement Memory Byte	M' ← 0 + M̅	Replace the memory byte with its logical complement. When operating on unsigned values, only BEQ and BNE branches can be expected to behave properly following a COM instruction. When operating on two's complement values, all signed branches are available.
COMA	6809	H=• N=↕ Z=↕ V=0 C=1	Complement A	A' ← 0 + A̅	Replace the contents of A with its logical complement. When operating on unsigned values, only BEQ and BNE branches can be expected to behave properly following a COM instruction. When operating on two's complement values, all signed branches are available.
COMB	6809	H=• N=↕ Z=↕ V=0 C=1	Complement B	B' ← 0 + B̅	Replace the contents of B with its logical complement. When operating on unsigned values, only BEQ and BNE branches can be expected to behave properly following a COM instruction. When operating on two's complement values, all signed branches are available.
COMD	6309	H=• N=↕ Z=↕ V=0 C=1	Complement D	D' ← 0 + D̅	Replace the contents of D with its logical complement. When operating on unsigned values, only BEQ and BNE branches can be expected to behave properly following a COM instruction. When operating on two's complement values, all signed branches are available.
COME	6309	H=• N=↕ Z=↕ V=0 C=1	Complement E	E' ← 0 + E̅	Replace the contents of E with its logical complement. When operating on unsigned values, only BEQ and BNE branches can be expected to behave properly following a COM instruction. When operating on two's complement values, all signed branches are available.
COMF	6309	H=• N=↕ Z=↕ V=0 C=1	Complement F	F' ← 0 + F̅	Replace the contents of F with its logical complement. When operating on unsigned values, only BEQ and BNE branches can be expected to behave properly following a COM instruction. When operating on two's complement values, all signed branches are available.
COMW	6309	H=• N=↕ Z=↕ V=0 C=1	Complement W	W' ← 0 + W̅	Replace the contents of W with its logical complement. When operating on unsigned values, only BEQ and BNE branches can be expected to behave properly following a COM instruction. When operating on two's complement values, all signed branches are available.
CWAI	6809	H=↕ N=↕ Z=↕ V=↕ C=↕	Clear CC bits and Wait for Interrupt	CC' ← CC ∩ I, E ← 1, S' ← S - 12, [S] ← PC ← U ← Y ← X ← DP ← [MD.NM = 1: F ⇠ E] ← B ← A ← CC	This instruction ANDs the immediate byte with the condition code register which may clear the interrupt mask bits I and F, stacks the entire machine state on the hardware stack and then looks for an interrupt. When a non-masked interrupt occurs, no further machine state information need be saved before vectoring to the interrupt handling routine. This instruction does not place the buses in a high-impedance state. A F̅I̅R̅Q̅ (fast interrupt request) may enter its interrupt handler with its entire machine state saved. The RTI (return from interrupt) instruction will automatically return the entire machine state after testing the E (entire) bit of the recovered condition code register.!!These immediate values will have the following results:  !$FF=enable neither, $EF=enable I̅R̅Q̅, $BF=enable F̅I̅R̅Q̅, $AF=enable both
DAA	6809	H=• N=↕ Z=↕ V=0 C=↕	Decimal Addition Adjust	A' ← A + CF(MSN):CF(LSN)	CF is the Correction Factor, where the CF for each nibble (BCD) digit is determined separately, and is either 6 or 0.!!**Least Significant Nibble**!!| | |!| ---: | :---|!| CF(LSN)=6 if |  1) C=1 |!| or | 2) LSN>9 |!!**Most Significant Nibble**!!| | |!| ---: | :---|!| CF(MSN)=6 if | 1) C=1 |!| or | 2) MSN > 9 |!| or | 3) MSN > 8 *and* LSN > 9 |!!The sequence of a single-byte add instruction on A (either ADDA or ADCA) and a following decimal addition adjust instruction results in a BCD addition with an appropriate C (carry) bit. Both values to be added must be in proper BCD form (each nibble such that: 0 < nibble < 9). Multiple-precision addition must add the carry generated by this decimal addition adjust into the next higher digit during the add operation (ADCA) immediately prior to the next decimal addition adjust.
DEC	6809	H=• N=↕ Z=↕ V=↕ C=•	Decrement Memory Byte	M' ← M - 1	Subtract one from the memory byte. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are available.
DECA	6809	H=• N=↕ Z=↕ V=↕ C=•	Decrement A	A' ← A - 1	Subtract one from A. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are available.
DECB	6809	H=• N=↕ Z=↕ V=↕ C=•	Decrement B	B' ← B - 1	Subtract one from B. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are available.
DECD	6309	H=• N=↕ Z=↕ V=↕ C=•	Decrement D	D' ← D - 1	Subtract one from C. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are available.
DECE	6309	H=• N=↕ Z=↕ V=↕ C=•	Decrement E	E' ← E - 1	Subtract one from E. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are available.
DECF	6309	H=• N=↕ Z=↕ V=↕ C=•	Decrement F	F' ← F - 1	Subtract one from F. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are available.
DECW	6309	H=• N=↕ Z=↕ V=↕ C=•	Decrement W	W' ← W - 1	Subtract one from W. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are available.
DIVD	6309	H=• N=↕ Z=↕ V=↕ C=↕	Signed Divide D by Memory Byte	B' ← D ÷ M, A' ← D mod M	Divide the signed contents of D (dividend) by the memory byte (divisor) and place the quotient into B and the remainder in A. The sign of the remainder is always the same as the sign of the dividend unless the remainder is zero. If the memory byte is zero, a Division-By-Zero exception is triggered (set bit 7 of MD, push the state onto the hardware stack, and jump to the illegal instruction vector).
DIVQ	6309	H=• N=↕ Z=↕ V=↕ C=↕	Signed Divide Q by Memory Word	W' ← Q ÷ M:M+1, D' ← Q mod M:M+1	Divide the signed contents of Q (dividend) by the memory word (divisor) and place the quotient into W and the remainder in D. The sign of the remainder is always the same as the sign of the dividend unless the remainder is zero. If the memory word is zero, a Division-By-Zero exception is triggered (set bit 7 of MD, push the state onto the hardware stack, and jump to the illegal instruction vector).
EIM	6309	H=• N=↕ Z=↕ V=0 C=•	Logical EOR of Immediate Byte into Memory Eyte	M' ← M ⊕ I	The immediate byte is exclusive ORed into the memory byte.
EORA	6809	H=• N=↕ Z=↕ V=0 C=•	Exclusive OR Memory Byte into A	A' ← A ⊕ M	The memory byte is exclusive ORed into A.
EORB	6809	H=• N=↕ Z=↕ V=0 C=•	Exclusive OR Memory Byte into B	B' ← B ⊕ M	The memory byte is exclusive ORed into B.
EORD	6309	H=• N=↕ Z=↕ V=0 C=•	Exclusive OR Memory Word into D	D' ← D ⊕ M:M+1	The memory word is exclusive ORed into D.
EORR	6309	H=• N=↕ Z=↕ V=0 C=•	Exclusive OR Register into Register	R₁' ← R₀ ⊕ R₁	 R₀ is exclusive ORed into R₁.
EXG	6809	H=• N=• Z=• V=• C=•	Exchange Registers	R₁ ↔ R2	Exchange data between two designated registers. Only like-size registers may be exchanged (8-bit with 8-bit or 16-bit with 16-bit).
INC	6809	H=• N=↕ Z=↕ V=↕ C=•	Increment Memory Byte	M' ← M + 1	Add one to the memory byte. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only the BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are correctly available.
INCA	6809	H=• N=↕ Z=↕ V=↕ C=•	Increment A	A' ← A + 1	Add one to A. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only the BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are correctly available.
INCB	6809	H=• N=↕ Z=↕ V=↕ C=•	Increment B	B' ← B + 1	Add one to B. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only the BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are correctly available.
INCD	6309	H=• N=↕ Z=↕ V=↕ C=•	Increment D	D' ← D + 1	Add one to D. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only the BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are correctly available.
INCE	6309	H=• N=↕ Z=↕ V=↕ C=•	Increment E	E' ← E + 1	Add one to E. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only the BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are correctly available.
INCF	6309	H=• N=↕ Z=↕ V=↕ C=•	Increment F	F' ← F + 1	Add one to F. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only the BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are correctly available.
INCW	6309	H=• N=↕ Z=↕ V=↕ C=•	Increment W	W' ← W + 1	Add one to W. The C (carry) bit is not affected, thus allowing this instruction to be used as a loop counter in multiple-precision computations. When operating on unsigned values, only the BEQ and BNE branches can be expected to behave consistently. When operating on two's complement values, all signed branches are correctly available.
JMP	6809	H=• N=• Z=• V=• C=•	Jump	PC' ← EA	Program control is transferred to the effective address.
JSR	6809	H=• N=• Z=• V=• C=•	Jump to Subroutine	S' ← S - 2, [S]' ← PC, PC' ← EA	Program control is transferred to the effective address after storing the return address on the hardware stack. A RTS instruction should be the last executed instruction of the subroutine.
LBCC	6809	H=• N=• Z=• V=• C=•	Long Branch if Carry Clear (C=0), Equivalent to LBHS (Unsigned)	If C=0 then PC' ← PC + I	Test the state of the C (carry) bit and causes a branch if it is clear.!!*Equivalent to LBHS.*
LBCS	6809	H=• N=• Z=• V=• C=•	Long Branch if Carry Set (C=1), Equivalent to LBLO (Unsigned)	If C=1 then PC' ← PC + I	Test the state of the C (carry) bit and causes a branch If it is set.!!*Equivalent to LBLO.*
LBEQ	6809	H=• N=• Z=• V=• C=•	Long Branch if Equal (Z=1)	If Z=1 then PC' ← PC + I	Test the state of the Z (zero) bit and causes a branch if it is set. When used after a subtract or compare operation, this instruction will branch If the compared values, signed or unsigned, were exactly the same.
LBGE	6809	H=• N=• Z=• V=• C=•	Long Branch if Greater Than or Equal to Zero (Z=1 or N XOR V=0) (Signed)	If [N ⊕ V]=0 then PC' ← PC + I	Causes a branch if the N (negative) bit and the V (overflow) bit are either both set or both clear. That is, branch if the sign of a valid two's complement result is, or would be, positive. When used after a subtract or compare operation on two's complement values, this instruction will branch if the register was greater than or equal to the memory operand.
LBGT	6809	H=• N=• Z=• V=• C=•	Long Branch if Greater (N XOR V=0) (Signed)	If Z ∩ [N ⊕ V]=0 then PC' ← PC + I	Causes a branch if the N (negative) bit and V (overflow) bit are either both set or both clear and the Z (zero) bit is clear. In other words, branch if the sign of a valid two's complement result is, or would be, positive and not zero. When used after a subtract or compare operation on two's complement values, this instruction will branch if the register was greater than the memory operand.
